LRRLRRLRLLLRLLRLRRLRRLRRLRRLLRLLRRRLRRRLRRLLLRLRRLLLLLRRRLRRRLRRRLRRLRRLRLRLRLRLRRRLRRRLRRRLRRLRRLRLRLRRLLRRRLLRRLRRLRRRLRLLRRLRRLRRRLRRRLRRRLRRRLRRLLLRRRLLRRLLLRRLRRLLRRLRRRLRRLRRLRRRLRRLLLRLRRRLLRRRLRLRRLRLRLRLRRRLRLRLRRLLRRLRRLRRLRRLLRLRLRRRLRRLRRLRRLRLRRRLRRLRLLRRLLRRLRLLLRLLRRRLRLRLLRRRR

FLG = (PCR, CTD)
VGH = (KLL, LDV)
VLD = (RXP, JLX)
KVG = (DPM, VRD)
LTD = (RBS, TFV)
FHR = (MMD, CNR)
PXV = (BMC, PRH)
KHM = (TGG, CLL)
GGG = (TNT, VJG)
TNT = (PXB, MCX)
FPS = (FBN, LDS)
PVP = (FHR, LHC)
CMV = (VXJ, BBV)
RSN = (CPM, PVJ)
NTG = (BJN, CRD)
BQJ = (FJB, PJH)
SJX = (MPS, TVN)
LPL = (SKK, HTT)
CPB = (GJV, GPT)
DRM = (DKX, LQS)
XQJ = (RLT, RNF)
CSL = (VBK, KHL)
TCR = (RSK, SLM)
DSN = (XTJ, LNN)
VCT = (FLP, LTQ)
JHV = (VCL, PXL)
PXQ = (NHJ, LTV)
LSB = (VFL, DJB)
VBK = (SKF, RFK)
NVH = (JFX, DSN)
GGD = (RRS, BNL)
LDX = (XJC, GXG)
FJB = (SFG, KBH)
LDT = (MQR, FRN)
QSN = (SCV, JMF)
BGD = (SKK, HTT)
GSG = (MJK, LJR)
CNR = (XQJ, RDT)
NRT = (VBR, BXG)
NGG = (JBN, JNB)
ZZZ = (QVX, FKJ)
FGQ = (BJN, CRD)
KNV = (KHN, NGV)
XNR = (HVG, LDT)
PHJ = (PDH, PXQ)
LBT = (XRL, PRP)
HQK = (MMX, JDJ)
BXF = (RLL, DHX)
TKJ = (MXG, JCK)
SJJ = (TRN, XGP)
HBG = (JKS, QCN)
KCQ = (LXF, CQT)
XMS = (XFD, JPP)
LXQ = (CPM, PVJ)
JTH = (GBP, PGD)
RLK = (LGM, TTM)
TST = (DKR, CNP)
BQT = (KRC, BLS)
VCL = (HMN, DLP)
RDN = (VRD, DPM)
XGP = (MSF, LVV)
KGT = (XXX, FBG)
HTT = (SJK, SHS)
PST = (RVB, PXV)
JKQ = (DXH, HLD)
JNH = (PDL, KFD)
RNH = (LLF, DFB)
KDX = (XLB, TKJ)
PTT = (GQC, VTH)
FHQ = (XPB, HSG)
XNN = (LFM, KVN)
MCH = (JDN, TCR)
MPS = (VXM, SLJ)
BTX = (NNM, PNC)
CTR = (HDG, HDG)
QJH = (JGB, SLC)
SPM = (SDS, DBM)
FJQ = (CDR, MSD)
DXH = (NGG, LPJ)
VLR = (BTX, QLN)
SRN = (GNF, MHT)
MJK = (QTN, MXD)
QTQ = (SCV, JMF)
HQM = (KGK, BGQ)
RVK = (TDM, NHK)
JBG = (THQ, PQH)
TSD = (CNS, QTJ)
LJT = (RSJ, JFK)
XHT = (KMR, KMR)
